朋友詞,正面情緒詞,負面情緒詞,人稱代名詞,認知歷程詞,
,可玩,忐忑,,,
,期望,黯然,,,
,可靠,絕望,,,
,合適,悲劇,,,
,適合,虐待,,,
,活力,荒寂,,,
,活潑,震驚,,,
,慷慨,崩潰,,,
,笑語,倒斃,,,
,從從容容,哭,,,
,慈善,哭過,,,
,清福,猖狂,,,
,寬容,蒼茫,,,
,寬和,冷冷清清,,,
,善良,慘慘,,,
,值得,戚戚,,,
,祝福,荒涼,,,
,庇護,厲斥,,,
,恩典,淒然,,,
,慈悲,悲吟,,,
,迷人,沉迷,,,
,欣賞,神經質,,,
,微笑,神經病,,,
,和藹,神經,,,
,長安,失眠,,,
,愛護,不知所措,,,
,安寧,打擊,,,
,寶貴,受不了,,,
,博愛,驚嚇,,,
,動人,緊繃,,,
,咯咯笑,不耐,,,
,豪爽,煩躁,,,
,光榮,躁鬱,,,
,好笑,不耐煩,,,
,喝采,不適,,,
,體貼,操煩,,,
,耿介,操勞,,,
,開明,顫慄,,,
,清明,錯亂,,,
,和睦,擔心,,,
,和煦,擔驚受怕,,,
,巧妙,膽小,,,
,美妙,鋌而走險,,,
,魅力,躲避,,,
,平安,發抖,,,
,平穩,妨害,,,
,熱烈,害怕,,,
,熱切,恐懼,,,
,熱衷,懼怕,,,
,容光煥發,混亂,,,
,融洽,紊亂,,,
,傻笑,焦急,,,
,善心,焦慮,,,
,偉大,急躁,,,
,秀美,棘手,,,
,調和,攪亂,,,
,親和,緊張,,,
,生命力,可怕,,,
,生氣勃勃,恐怖,,,
,舒服,驚悚,,,
,舒適,恐慌,,,
,適切,慌張,,,
,陶醉,難堪,,,
,沉醉,傷人,,,
,歡愛,傷心,,,
,美麗,低落,,,
,討喜,沮喪,,,
,激昂慷慨,迷惘,,,
,勇敢,失落,,,
,勇氣,落魄,,,
,優美,抑鬱,,,
,優良,牽連,,,
,優雅,拖累,,,
,有趣,人心惶惶,,,
,有益,弱點,,,
,有助,失控,,,
,助益,心煩,,,
,鎮靜,心煩意亂,,,
,可親,心神不寧,,,
,知足,心神不定,,,
,親切,壓力,,,
,真誠,掙扎,,,
,溫婉,哀痛,,,
,信任,精疲力盡,,,
,信賴,精疲力竭,,,
,溫厚,生病,,,
,雅潔,體弱,,,
,明豔,體虛,,,
,柔美,分歧,,,
,怦然心動,狹隘,,,
,甜津津,固執,,,
,慷慨,偏狹,,,
,興奮,鎮壓,,,
,悅耳,忽略,,,
,快意,猜疑,,,
,柔軟,誤會,,,
,盼望,誤解,,,
,悠揚,扭曲,,,
,嬌豔,曲解,,,
,喜事,無能,,,
,幽香,放任,,,
,慈眉善目,不幸,,,
,真好,低沉,,,
,歡樂,低迷,,,
,鼓勵,放棄,,,
,堅持,厭世,,,
,笑容,可憐,,,
,加油,空洞,,,
,愛,空虛,,,
,期盼,淚流滿面,,,
,溫暖,淚流,,,
,榮耀,淚水,,,
,歡呼,難過,,,
,燦爛,破滅,,,
,笑聲,毀滅,,,
,舒暢,柔腸寸斷,,,
,笑臉,逃離,,,
,親吻,抱怨,,,
,一帆風順,憂傷,,,
,吉利,苦難,,,
,和顏悅色,步履維艱,,,
,安慰,掙扎,,,
,笑開,哭聲,,,
,有幸,愁苦,,,
,清幽,煩躁,,,
,靈秀,愁緒,,,
,幽情,蹣跚,,,
,極愛,受苦,,,
,趣,情緒低落,,,
,感謝,厄運,,,
,巧笑倩兮,心痛,,,
,美跡,受傷,,,
,清香,悲鳴,,,
,清新,眼淚,,,
,養目,悲慘,,,
,一往情深,悲哀,,,
,嬌媚,逞罰,,,
,相映成趣,不太好,,,
,酷愛,怵目驚心,,,
,愛情,面目猙獰,,,
,和解,啼哭,,,
,相信,憔悴,,,
,諒解,不悅,,,
,深愛,失望,,,
,盡情,生氣,,,
,下定決心,孤單,,,
,眷顧,破壞,,,
,地愛著,痛不欲生,,,
,真愛,落空,,,
,深情,萬念俱灰,,,
,健全,嗚咽,,,
,相愛,無助,,,
,所愛,無望,,,
,擁抱,洩氣,,,
,簇擁,心灰意冷,,,
,莫逆,心碎,,,
,親吻,陰沉,,,
,陪伴,自暴自棄,,,
,疼愛,發愁,,,
,心愛,坎坷,,,
,養育,悶悶不樂,,,
,簇擁,難熬,,,
,珍愛,煎熬,,,
,珍視,辛酸,,,
,鍾愛,逃避,,,
,愛戀,失去,,,
,協助,徘徊,,,
,幫助,迷失,,,
,幫忙,輸,,,
,支持,侮辱,,,
,喜愛,殺死,,,
,邀請,消滅,,,
,相識,戰爭,,,
,相戀,戰火,,,
,心肝,戰亂,,,
,摯友,狂躁,,,
,知心,作嘔,,,
,慶祝,挑釁,,,
,聚會,激怒,,,
,分享,邪惡,,,
,玩耍,差勁,,,
,保護,挫折,,,
,寶貝,譴責,,,
,戀人,辱罵,,,
,親愛的,悔恨,,,
,莫逆,怨恨,,,
,誇獎,冒犯,,,
,英俊,蹂躪,,,
,俊俏,駁斥,,,
,帥氣,打岔,,,
,出色,打斷,,,
,傑出,打架,,,
,巧妙,鬥爭,,,
,超凡脫俗,忌妒,,,
,善解人意,取笑,,,
,不愁,責備,,,
,珍奇,指責,,,
,甜美,詛咒,,,
,甜蜜,敗壞,,,
,恬靜,報仇,,,
,奢華,報復,,,
,稀奇,暴力,,,
,輕快,暴怒,,,
,愜意,暴躁,,,
,酣然,卑鄙,,,
,神清氣爽,卑劣,,,
,逗笑,背叛,,,
,發笑,不滿,,,
,溫文,不貞,,,
,逗樂,殘暴,,,
,忍俊不禁,衝突,,,
,精通,懲罰,,,
,尊敬,觸怒,,,
,景仰,粗魯,,,
,敬佩,粗暴,,,
,完美,打仗,,,
,尊嚴,得罪,,,
,精湛,低能,,,
,贏得,發狂,,,
,鮮豔,發怒,,,
,聰明,反叛,,,
,出色,非禮,,,
,心滿意足,非難,,,
,豁達,復仇,,,
,清冽,公憤,,,
,興趣,攻擊,,,
,信心,狠心,,,
,信譽,荒唐,,,
,雄偉,荒謬,,,
,綻放,看不起,,,
,絢麗,貶低,,,
,繽紛,拷打,,,
,用功,拷問,,,
,盛開,苛求,,,
,陌生,苛責,,,
,心曠神怡,可鄙,,,
,自若,可恥,,,
,希望,可惡,,,
,盼望,可憎,,,
,祈望,恐嚇,,,
,酣甜,酷刑,,,
,呵護,狂暴,,,
,獨特,狂怒,,,
,特有,冷酷,,,
,快活,吝嗇,,,
,素雅,蔑視,,,
,高雅,暴虐,,,
,無憂,叛亂,,,
,休憩,拋棄,,,
,留戀,咆哮,,,
,獨立,抨擊,,,
,興高采烈,批判,,,
,欣喜若狂,偏見,,,
,恩惠,偏執,,,
,歡心,七竅生煙,,,
,歡欣,歧視,,,
,恰到好處,氣憤,,,
,哈哈大笑,氣急敗壞,,,
,歡蹦,瞧不起,,,
,親近,輕視,,,
,主動,惹惱,,,
,徜徉,撒謊,,,
,機敏,騷擾,,,
,特別,上當,,,
,如釋重負,世仇,,,
,懷念,勢利,,,
,溫和,受害,,,
,聰慧,受騙,,,
,誠心,受罪,,,
,嶄新,說謊,,,
,忠告,挑剔,,,
,愛惜,挖苦,,,
,孝順,威脅,,,
,恭敬,齷齪,,,
,闊氣,失禮,,,
,津津有味,無禮,,,
,佩服,奚落,,,
,捧腹大笑,脅迫,,,
,勝過,褻瀆,,,
,賺,嚴酷,,,
,親密,咬牙切齒,,,
,善意,義憤,,,
,睿智,愚昧,,,
,正義,易怒,,,
,真理,遇難,,,
,善,造反,,,
,神聖,詐騙,,,
,智慧,戰鬥,,,
,真切,眾怒,,,
,由衷,咒罵,,,
,喜不自勝,舞弊,,,
,賞心悅目,作弊,,,
,原諒,討厭,,,
,蛻變,強姦,,,
,純真,白癡,,,
,無暇,蹩腳,,,
,興致,該死,,,
,微微一笑,狗屁,,,
,柔化,爛貨,,,
,成熟,媽的,,,
,穩重,呸,,,
,忠誠,王八蛋,,,
,照耀,下流,,,
,心醉,愚蠢,,,
,醉心,傷害,,,
,璀璨,驚駭,,,
,柔軟,驚恐,,,
,夢想,苦惱,,,
,明亮,虛弱,,,
,熱愛,麻木,,,
,光芒,刺痛,,,
,芳香,否定,,,
,相親,徬徨,,,
,,支配,,,
,,挫敗,,,
,,脆弱,,,
,,沉重,,,
,,樂極生悲,,,
,,爽約,,,
,,憐憫,,,
,,遺棄,,,
,,遠離,,,
,,丟棄,,,
,,寂寥,,,
,,辜負,,,
,,辛苦,,,
,,無可奈何,,,
,,斬斷情絲,,,
,,膽破魂奪,,,
,,慘叫,,,
,,懾服,,,
,,劈殺,,,
,,逃,,,
,,黑怪,,,
,,張牙舞爪,,,
,,失魂,,,
,,肆虐,,,
,,震懾,,,
,,恐怖,,,
,,孤伶伶,,,
,,背棄,,,
,,屍體,,,
,,悲傷,,,
,,殘害,,,
,,病痛,,,
,,破碎,,,
,,殘廢,,,
,,凋零,,,
,,謝落,,,
,,白死,,,
,,死亡,,,
,,創傷,,,
,,劫難,,,
,,疼痛,,,
,,輕浮,,,
,,躁動,,,
,,暴亂,,,
,,喪失,,,
,,冷淡,,,
,,醜陋,,,
,,猥瑣,,,
,,噁心,,,
,,難捱,,,
,,不合時宜,,,
,,丟人現眼,,,
,,罪行,,,
,,控訴,,,
,,可恨,,,
,,陌生,,,
,,滑稽,,,
,,粗俗,,,
,,索然無味,,,
,,藐視,,,
,,吞噬,,,
,,丑角,,,
,,虛榮,,,
,,一籌莫展,,,
,,疲憊,,,
,,窩囊,,,
,,束縛,,,
,,心虛,,,
,,狡猾,,,
,,裝腔作勢,,,
,,裝模作樣,,,
,,痛楚,,,
,,陰森,,,
,,狡詐,,,
,,惡毒,,,
,,詭譎,,,
,,恥辱,,,
,,強暴,,,
,,委屈,,,
,,易逝,,,
,,骯髒,,,
